id	year	cohort	captureyr	st_age	st_annulusl	st_weight	st_logepg	st_H	st_Hst	st_Hst_MHC
O03I	2010	2003	2009	0.3576603622	NA	-0.3367846343	0.76	-0.1537968678	-0.0897418487	0.5034268838
O03I	2011	2003	2009	0.6152100489	NA	0.3950266017	-0.47	-0.1537968678	-0.0897418487	0.5034268838
O03I	2012	2003	2009	0.8727597356	NA	0.7674354194	NA	-0.1537968678	-0.0897418487	0.5034268838
V01A	1996	1996	2001	-1.4451874445	1.0157733677	NA	NA	-0.1296881696	-1.0102390407	1.092683315
V01A	1997	1996	2001	-1.1876377578	1.8948384129	NA	NA	-0.1296881696	-1.0102390407	1.092683315
V01A	1998	1996	2001	-0.9300880712	0.1367083224	NA	NA	-0.1296881696	-1.0102390407	1.092683315
V01A	1999	1996	2001	-0.6725383845	-0.1929410696	NA	NA	-0.1296881696	-1.0102390407	1.092683315
V01A	2000	1996	2001	-0.4149886978	0.1406223725	NA	NA	-0.1296881696	-1.0102390407	1.092683315
V01A	2001	1996	2001	-0.1574390111	0.7894886067	-0.9272964803	-0.18	-0.1296881696	-1.0102390407	1.092683315
V01A	2002	1996	2001	0.1001106756	0.4628098688	0.0268032873	-0.08	-0.1296881696	-1.0102390407	1.092683315
V01A	2003	1996	2001	0.3576603622	0.6623713632	NA	-0.22	-0.1296881696	-1.0102390407	1.092683315
V01A	2004	1996	2001	0.6152100489	-0.9890275366	NA	1.39	-0.1296881696	-1.0102390407	1.092683315
V01A	2005	1996	2001	0.8727597356	-1.8643630674	1.3012577215	0.39	-0.1296881696	-1.0102390407	1.092683315
V01A	2006	1996	2001	1.1303094223	-1.4565970721	1.4733153379	1.42	-0.1296881696	-1.0102390407	1.092683315
V01A	2007	1996	2001	1.3878591089	NA	1.6539375667	-2.10	-0.1296881696	-1.0102390407	1.092683315
V01B	2002	1996	2001	1.6454087956	NA	NA	NA	-0.1795682349	0.9808081233	-0.7966412994
V01B	2005	1996	2001	1.9029584823	NA	NA	1.14	-0.5486807177	0.9808081233	-0.7966412994
V01C	1998	1998	2003	-1.4451874445	-0.3577657655	NA	NA	NA	NA	NA
V01C	1999	1998	2003	-1.1876377578	1.1805980637	NA	NA	NA	NA	NA
V01C	2000	1998	2003	-0.9300880712	1.565189021	NA	NA	NA	NA	NA
V01C	2001	1998	2003	-0.6725383845	1.235539629	NA	NA	NA	NA	NA
V01C	2002	1998	2003	-0.4149886978	1.0135561478	NA	NA	NA	NA	NA
V01C	2003	1998	2003	-0.1574390111	1.1796471312	-0.8785468571	NA	NA	NA	NA
V01C	2004	1998	2003	0.1001106756	0.4881966899	-0.4467644805	NA	NA	NA	NA
V01C	2005	1998	2003	0.3576603622	-0.8435988016	0.0546602149	-0.07	NA	NA	NA
V01C	2006	1998	2003	0.6152100489	NA	NA	2.20	NA	NA	NA
V01C	2007	1998	2003	0.8727597356	NA	NA	-0.66	NA	NA	NA
V01J	2005	2005	2010	-1.4451874445	0.6312005361	NA	NA	-0.1565931745	-0.0280107565	-0.1668664279
V01J	2006	2005	2010	-1.1876377578	0.9141605438	NA	NA	-0.1565931745	-0.0280107565	-0.1668664279
